NameCode,Value,Name
VEC,19,Monospace
VEC,17,Special offer
VEC,22,Crossover
VEC,23,Commercial van/truck
VEC,18,Coupe
VEC,15,Extended cab pickup
VEC,16,Regular cab pickup
VEC,13,Sport
VEC,14,Special
VEC,11,All-Terrain
VEC,12,Recreational
VEC,3,SUV
VEC,21,Roadster
VEC,2,Van
VEC,20,2 wheel vehicle
VEC,1,Car
VEC,10,Motorhome
VEC,7,Limo
VEC,6,Motorcycle
VEC,5,Truck
VEC,4,Convertible
VEC,9,Pickup
VEC,8,Station wagon
VCT,35,Personal effects protection
VCT,36,Personal effects coverage
VCT,33,Personal accident coverage
VCT,34,Personal accident and effects coverage
VCT,39,Rental liability protection
VCT,37,Personal passenger protection
VCT,38,Personal property insurance
VCT,43,Super personal accidental and effects coverage
VCT,42,Supplemental liability insurance
VCT,41,Special coverage
VCT,40,Super collision damage waiver (SDW)
VCT,22,Liability deductible coverage
VCT,23,Loss damage waiver
VCT,24,Loss damage waiver
VCT,25,LDW deductible waiver
VCT,26,Loss damage waiver reduced liability
VCT,27,Liability insurance supplement
VCT,28,Mexican insurance
VCT,29,Non-waiverable responsibility
VCT,3,Accident protection insurance
VCT,2,Accident liability waiver
VCT,1,Additional liability insurance
VCT,7,Collision damage waiver (CDW)
VCT,30,Partial coverage
VCT,6,Collision damage waiver (CDW)
VCT,5,Complete cover package
VCT,32,Personal accident insurance
VCT,4,Baggage coverage
VCT,31,Partial damage waiver
VCT,9,Collision damage waiver reduced liability
VCT,8,Collision damage waiver plus
VCT,59,Super cover
VCT,58,AER (Accident Excess Reduction)
VCT,57,AER (Accident Excess Reduction) plus
VCT,19,Insurance deductible waiver plus
VCT,56,Max cover
VCT,55,Young drivers insurance
VCT,17,Glass/Tyre waiver
VCT,18,Insurance deductible waiver
VCT,15,Damage waiver plus
VCT,16,Full coverage
VCT,13,Damage excess reduction
VCT,14,Damage waiver
VCT,11,Collision damage waiver LDW combo
VCT,12,Collision damage waiver LDW combo plus
VCT,21,Insurance
VCT,20,Insurance deductible waiver reduced liability
VCT,60,Zero deductible option
VCT,61,Protection package
VCT,49,Third party coverage
